occurrence;energy;dipole_moment;homo_lumo_gap;metal_bound_homo_energy;metal_bound_homo_s;metal_bound_homo_p;metal_bound_homo_d;metal_bound_homo_f;metal_bound_lumo_energy;metal_bound_lumo_s;metal_bound_lumo_p;metal_bound_lumo_d;metal_bound_lumo_f;polarisability;molar_volume;largest_frequency;I1/I3;I2/I3
WEXMUI-subgraph-2;-535.376565018;5.4893;0.16;-0.201;0.377253814147018;0.6075962872079378;0.015149898645044277;0.0;-0.041;0.0;0.9503318347248983;0.04966816527510168;0.0;142.21;1596.897;3165.2585;0.19719652499007717;0.8713077718760782
OGIVEH-subgraph-1;-1411.06292629;10.2925;0.11100000000000002;-0.069;0.0;0.9627770807193643;0.03722291928063572;0.0;0.042;0.0;0.9601784007645747;0.039821599235425297;0.0;246.13;1922.26;3120.4292;;
PYHPCO-subgraph-2;-730.648346377;0.2864;0.251;-0.215;0.21684587813620074;0.7477598566308244;0.03539426523297492;0.0;0.036;1.0721721838811555;-0.07217218388115565;0.0;0.0;177.61;1964.816;3481.1532;0.4918913590133018;0.7046554043979165
YARHAD-subgraph-4;-724.868388701;2.7457;0.199;-0.257;0.08653227535921079;0.8966330688398026;0.016834655800986486;0.0;-0.058;0.0;0.9399155227032735;0.06008447729672652;0.0;168.58;1540.18;3155.1342;0.16897720635525382;0.9130798475404843
WAQRIP-subgraph-0;-588.992188976;9.1003;0.11499999999999999;-0.044;0.016457432218588457;0.9522101487498682;0.031332419031543414;0.0;0.071;0.01203194689347578;0.9211700031117104;0.06679804999481381;0.0;166.62;1766.024;3124.0716;0.10625215772563854;0.9307320239962638
BESFIS-subgraph-0;-588.973953649;11.9814;0.10700000000000001;-0.038;0.029744449099287813;0.939568496020109;0.030687054880603273;0.0;0.069;0.0;0.9255474452554745;0.07445255474452553;0.0;189.39;1620.028;3121.9988;0.07911423439692059;0.9222740066830243
BESFUE-subgraph-1;-588.992191392;9.1012;0.11499999999999999;-0.044;0.016453960552684315;0.9522202299335514;0.031325809513764374;0.0;0.071;0.012030699025098526;0.9211781788010786;0.06679112217382287;0.0;166.62;2042.747;3124.061;0.1062705470877797;0.930758971870544
EGAKAB-subgraph-2;-708.626225335;2.5936;0.22499999999999998;-0.24;0.012335808109651628;0.9876641918903484;0.0;0.0;-0.015;0.079957805907173;0.830379746835443;0.08966244725738398;0.0;175.37;2519.541;3512.5246;0.4093890439022738;0.8969449610931133
LIHQOJ-subgraph-0;-1157.63195717;7.4727;0.119;-0.017;0.2112898139388206;0.7553873646588879;0.033322821402291605;0.0;0.102;-0.013589658601259531;0.949397856590432;0.06419180201082754;0.0;288.16;3166.789;3109.2559;;
DIQDEQ-subgraph-1;-1506.25616057;0.8057;0.175;-0.205;0.0;0.9777511178972625;0.02224888210273749;0.0;-0.03;0.0;0.9187205608500383;0.08127943914996166;0.0;234.47;2516.219;3535.7453;;
